feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	150217	5661	2398	160320	691	340	80977	197	82	55	596	309	27	35	658	24	11	14	0	15	5	0	3	3	38	2	0	0	0	0
HEB24008	195648	173878	2500	73116	314	231	40478	171	75	52	470	257	26	22	988	16	8	20	7	0	3	0	3	4	28	0	0	4	0	0
HEB24017	91982	190678	3779	165804	455	405	82515	235	96	66	1066	69	31	43	669	37	11	14	11	12	4	0	5	0	30	6	0	0	0	0
HEB24040	98001	655187	7227	14790	1194	972	375742	487	206	145	1212	176	33	119	1060	57	33	47	30	18	5	0	9	12	120	4	2	0	3	2
HEB24042	278916	21584	2991	41817	1349	406	199721	224	126	73	1135	571	28	40	726	24	15	22	13	12	0	4	6	0	43	0	0	0	0	0
HEB24058	151705	45089	3548	132030	507	352	189704	234	113	60	1287	265	24	51	3037	24	16	24	13	7	3	0	7	0	22	0	3	7	0	0
HEB24088	152111	112833	2708	28445	575	353	122043	178	86	33	1581	60	18	30	934	30	15	15	12	6	0	0	0	0	45	0	0	0	0	0
HEB24090	94815	288438	2682	13198	14390	372	87365	165	65	60	617	60	18	38	558	22	13	9	11	5	4	0	9	0	80	0	0	0	2	0
HEB24097	206924	6521	2350	58689	4535	217	50322	193	97	48	160187	49	21	36	280	28	8	13	12	0	0	0	0	0	19	0	0	2	0	2
HEB24098	78799	16988	3175	16885	740	681	275394	248	78	50	549	278	32	35	847	23	18	19	11	11	0	0	0	0	58	11	0	4	2	0
HEB24099	396879	21023	3355	194148	71341	599	126979	264	126	60	504	1772	40	46	2034	37	12	34	21	12	3	0	7	0	120	7	0	0	0	0
HEB24100	208611	6975	3104	44691	489	372	214364	255	84	52	503	836	22	40	963	42	16	23	10	15	4	5	0	0	18	2	3	5	5	0
HEB24139	277801	11388	2871	206027	1156	443	100047	217	88	52	564	87	20	41	644	27	15	11	11	7	3	5	3	0	45	0	0	0	0	0
HEB24140	297093	161467	3262	214394	402	220	40755	207	102	58	438	66	34	55	268	32	14	16	14	9	0	0	0	0	49	2	3	0	0	0
HEB24141	189568	15499	2775	64150	5276	294	117241	263	86	44	72195	69	19	23	469	31	11	24	13	9	3	5	0	2	22	9	0	0	0	0
HEB24142	161927	29739	3451	157923	2756	500	170033	231	107	54	485	70	30	37	600	30	13	28	11	12	0	0	5	4	106	6	0	0	3	0
HEB24143	148011	11776	2046	97418	15124	188	83503	170	74	45	277	87	16	26	624	25	13	9	9	3	0	0	3	0	34	0	0	0	0	0
HEB24144	159045	80066	2314	50918	314	230	92611	158	63	34	348	195	19	37	643	24	5	16	7	9	0	0	0	0	21	0	0	0	0	0
HEB24175	446115	158703	6545	339924	1808	860	204536	538	213	121	1947	373	72	77	2864	68	22	62	29	20	0	5	7	6	106	6	5	5	4	0
HEB24176	346448	237199	5237	69440	815	588	230420	382	198	103	988	139	45	104	1728	63	30	37	28	13	6	0	4	0	108	8	0	0	2	0
HEB24177	292142	53514	7691	38203	6938	1197	561813	609	280	136	64108	245	59	130	786	96	29	48	34	30	0	7	6	17	61	16	5	0	0	5
HEB24178	736044	23821	8197	80233	3875	1690	483550	691	340	220	2427	770	86	144	11792	109	37	58	40	28	18	12	9	12	140	10	0	0	4	0
HEB24179	645112	474189	8973	27079	32931	968	325783	616	282	174	991	250	78	159	653	79	37	63	38	31	9	7	17	7	144	3	0	0	0	0
HEB24180	398304	548615	7845	31064	1096	877	230355	493	241	185	1235	161	59	166	2493	83	41	55	25	30	11	7	7	0	118	8	0	0	0	0
