feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	0.34740297929164	0.645937549729816	0.00273643716572915	0.00066421736513274	0.00076800132843473	0.000204108461160581	0.000172973272169984	0.00209989552414361	1.38378617735987e-05	0
HEB24002	0.437015723168774	0.556423975946461	0.00410321899281196	0.000552304591941202	0.000603493798023558	0.000161650124470596	0.000169732630694126	0.000951041565635339	1.88591811882362e-05	0
HEB24003	0.469463330457291	0.525763589301122	0.00140120793787748	0.000562553925798102	0.000669542709232097	0.000234685073339085	0.00017946505608283	0.00170146678170837	2.41587575496117e-05	0
HEB24004	0.215566985231978	0.776706698397811	0.00376159511694799	0.000877705527287865	0.000802473624948905	0.000178048835535538	0.000185572025769434	0.00190838258933161	1.25386503898266e-05	0
HEB24005	0.192927734884059	0.801445045953487	0.00105537064018698	0.000818232702817028	0.000865233014728189	0.000260638093325528	0.000235001559555804	0.00235428835118633	2.99092893980115e-05	8.5455112565747e-06
HEB24006	0.342584704190439	0.653875864056015	0.000963718961667333	0.000553890021783029	0.000615985315704893	0.00020118875230684	0.000223543058118711	0.000941364655855462	2.98057410824948e-05	9.93524702749828e-06
HEB24016	0.157725402169847	0.836401959979196	0.00114423366455887	0.000715374157108574	0.000748222970445193	0.000197092880019709	0.000279214913361255	0.00276295018842444	1.45994725940525e-05	1.09496044455394e-05
HEB24034	0.597619645019473	0.396294662824603	0.00205869381254198	0.000520517587728252	0.00060623156175536	0.000229090076036087	0.000163635768597205	0.00249661429802593	1.09090512398137e-05	0
HEB24059	0.450725981694067	0.542623301652802	0.0010453477907768	0.000554226387760925	0.000760003511929586	0.000312781228736364	0.000235957769046731	0.00371770670998046	2.46932549002393e-05	0
HEB24081	0.0367470965416012	0.959244790286006	0.000860396176084319	0.00085888139408417	0.000584705852057301	0.000160566892015736	0.000268116414026275	0.00125575427812306	1.66626020016329e-05	3.0295640002969e-06
HEB24110	0.105232050161895	0.890461016600709	0.00117866748899282	0.00134827225848452	0.00100049682205205	0.000203868359288003	0.000265542820921348	0.000284387795309315	2.22713333675969e-05	3.4263589796303e-06
HEB24113	0.179929156482795	0.81598800509449	0.0012178842257517	0.00085837149091882	0.000950339864945836	0.000214592872729705	0.000306561246756721	0.000510006437786182	2.50822838255499e-05	0
HEB24133	0.348789627294547	0.646609127962283	0.00140259271346142	0.000671207734164705	0.000634175583314239	0.000247652508812495	0.000212934867390182	0.00141416526060219	1.85160754252332e-05	0
HEB24134	0.456223427528874	0.536051052166662	0.00353501580933039	0.000427636195523854	0.000556422385681617	0.00015850608019417	0.000135390610165853	0.00289603817354765	1.6511050020226e-05	0
HEB24135	0.44839162534978	0.546748864693434	0.00139628024879175	0.000530472821793339	0.000765396500016104	0.000179981850251312	0.000255763681936074	0.00170698575869928	2.46290952975479e-05	0
HEB24136	0.407033803737241	0.58081755893991	0.00806699822750166	0.000973848152292805	0.000602933539993276	0.00017993304596658	0.000266742848845193	0.00204239790772591	1.10485203663689e-05	4.73508015701526e-06
HEB24137	0.296332759045041	0.699939457198755	0.000891075056904844	0.000713219349982304	0.000713219349982304	0.00021737919734977	0.000235344420271239	0.000928802025039928	2.33547897979092e-05	5.38956687644059e-06
HEB24138	0.413043842531872	0.583630760606462	0.000796693796908584	0.000574289792417851	0.0005255437092418	0.000166041345818424	0.00024830036117801	0.000999294705109046	1.5233150992516e-05	0
